"Domaine","Support","Année","Nauteurs","Titre"
"Linguistique", "COMM", "2004", "4", "La perception catégorielle anticipatoire des voyelles arrondies du français"
"Informatique", "COMM", "2012", "1", "Un routeur IP embarqué et sécurisé pour l'aéronautique"
"Informatique", "COMM", "2017", "3", "Etude d'algorithmes d'authentification pour petits capteurs d'empreinte digitale"
"Informatique", "COMM", "2010", "2", "La machine abstraite KGRAM et son langage GRAAL pour l'interrogation de graphes de connaissances"
"Lettres", "COUV", "2013", "1", "La parole trahie : mythe fondateur et fondement éthique de la poétique mussétienne"
"Informatique", "COMM", "2006", "3", "Urbanisation conjointe de l'entreprise et son système d'information"
"Linguistique", "COMM", "2011", "2", "Entre co-tutorat et médiation instrumentale, une situation d'apprentissage pour des élèves non francophones d'une classe d'accueil de Guyane"
"Informatique", "COMM", "2007", "3", "L'Eglise et la Tour Clocher de Neyran à Saint Gervais sur Mare (34) : Modélisation, rendu et animation en temps réel d'un Castrum languedocien"
"Linguistique", "COMM", "2015", "2", "Diversité des étayages dans des interactions mère-enfant dysphasique: comparaison d'activités de narration et de devinette"
"Lettres", "ART", "2010", "1", "Néolibéralisation et régénération urbaine : quelques réflexions sur l'évolution de Glasgow depuis 1979"
"Linguistique", "ART", "2007", "1", "La dialectique du singulier et du social dans les processus de singularisation : style(s), idiolecte, ethos"
"Linguistique", "COMM", "2008", "1", "Le lexique amoureux - Contruction de l'expressivité des diminutifs hypocoristiques dans le langage amoureux en allemand"
"Linguistique", "COUV", "2012", "1", "Présent de narration et opposition des plans dans Le Vice-consul de Marguerite Duras"
"Lettres", "ART", "2007", "1", "De Devils Tower à Cave Rock : terre-mère des Indiens ou terrain de jeu des citadins ? Représentation d'une réalité hybride."
"Informatique", "COMM", "2015", "4", "Modèle de joueur pour la ludification adaptative d'une plateforme d'apprentissage"
"Lettres", "ART", "2017", "1", "Le panthéisme dans Bouvard et Pécuchet"
"Informatique", "COMM", "2004", "3", "Apport d'une modélisation ontologique pour la détection du signal en pharmacovigilance"
"Linguistique", "ART", "2012", "1", "Presque et la frontière catégorielle"
"Lettres", "COUV", "2007", "1", "La vigne et le vin dans la patristique"
"Lettres", "COUV", "2006", "1", "Dans les fragments d’un miroir en éclats (l’autobiographie entre prose et poésie)"
"Linguistique", "ART", "2010", "1", "Documents audio à prendre pour apprendre. Une sélection pour les métiers du tourisme en FLE"
"Lettres", "ART", "2008", "3", "POUR UNE APPROCHE SENSIBLE DE L'ARCHITECTURE, LE ROMAN NATURALISTE"
"Informatique", "COMM", "2012", "3", "Une approche multidimensionnelle basée sur les comportements individuels pour la prédiction de la diffusion de l'information sur Twitter"
"Lettres", "COUV", "2009", "1", "Munich : une question européenne ?"
"Linguistique", "COMM", "2013", "4", "Acquisition des expressions référentielles en dialogue : approche multidimensionnelle"
"Informatique", "ART", "2008", "5", "Impacts de fragments structuraux résultant d'explosions et vulnérabilité des installations industrielles"
"Linguistique", "ART", "2010", "1", "Autour d'une définition linguistique des notions de voix collective et de ON-locuteur"
"Informatique", "COMM", "2012", "2", "Compositionnalité et contextes issus de corpus comparables pour la traduction terminologique"
"Informatique", "COMM", "2004", "2", "Po-Tree: un système d'indexation spatio-temporel temps-réel"
"Linguistique", "ART", "2012", "1", "Perspective fonctionnelle de la phrase et diachronie"
"Informatique", "COMM", "2007", "2", "Vers une Réalité Virtuelle véritablement interactive"
"Lettres", "COUV", "2014", "1", "Ernest Renan : du génie des langues au génie des peuples. La littérature biblique au prisme du comparatisme."
"Informatique", "COUV", "2015", "1", "Diversité des biologies théoriques face aux complexités du vivant"
"Lettres", "ART", "2015", "2", "La bande-dessinée espagnole, un art visuel au service de la mémoire. El arte de volar de Antonio Altarriba et 36-39, Malos tiempos de Carlos Giménez"
"Linguistique", "ART", "2013", "2", "L’étude des pronoms à l’interface du grammatical et du pragmatique"
"Informatique", "COMM", "2011", "1", "Techniques futures pour le traducteur professionnel"
"Lettres", "ART", "2011", "1", "Diglossie et biculturalisme littéraires : le cas de A Free Life, de Ha Jin"
"Informatique", "COMM", "2014", "2", "Détection et correction automatique d'entités nommées dans des corpus OCRisés"
"Lettres", "ART", "2009", "1", "Sectarisme religieux et football en Ecosse"
"Linguistique", "ART", "2006", "1", "L'effacement de la figure de l'auteur dans la construction événementielle d'un journal de campagne électorale et la question de la responsabilité, en l'absence de récit primaire"
"Linguistique", "COMM", "2016", "2", "Raconter une histoire à son enfant ou à un expérimentateur : Eléments pour une réflexion sur les modèles de la référence offerts par les mères"
"Lettres", "COUV", "2007", "1", "Valeur esthétique et valeur économique : la réflexion de Mallarmé"
"Informatique", "COMM", "2005", "3", "Une approche SMA de l'Agrégation et de la Coopération des Classifieurs"
"Lettres", "COUV", "2007", "1", "Bernanos lecteur critique de Mauriac"
"Linguistique", "COMM", "2006", "1", "Le plurilinguisme en rédaction de textes durant les études universitaires."
"Linguistique", "COMM", "2012", "3", "Existe-t-il une signification sociale stable et univoque de la palatalisation/affrication en français ? Étude sur la perception de variantes non standard"
"Linguistique", "COMM", "2010", "1", "Evolution de la position du sujet pronominal en français médiéval : une approche sémantico-pragmatique"
"Lettres", "COUV", "2015", "1", "De la polyphonie du texte à la pluralité des traductions. Réflexions sur les traductions françaises du Cantique des cantiques"
"Informatique", "COMM", "2007", "3", "Débruitage des signaux par approche EMD : Multi-EMD-SG"
"Linguistique", "COMM", "2006", "1", "Topicalisation, focalisation et constructions syntaxiques en français médiéval : des relations complexes"
"Linguistique", "COUV", "2012", "1", "Emergence du discours politique des jeunes lycéens dans et par le dispositif de la convention  éducation prioritaire  de l'IEP Paris (Sciences Po)"
"Linguistique", "COUV", "2007", "3", "Quelques lieux de variation du positionnement énonciatif dans l'article de recherche"
"Linguistique", "COUV", "2006", "1", "Bonifacio : histoire linguistique de l'îlot"
"Linguistique", "ART", "2006", "1", "Zoonymes et relations parentélaires : réflexions sur la belette. De l'étymologie à la reconstruction lexicale"
"Informatique", "ART", "2010", "2", "Le coeur numérique"
"Linguistique", "COUV", "2003", "2", "La petite bête qui monte, qui monte… La dimension motivationnelle dans la dénomination du ‘petit'. Etymologie et reconstruction lexicale"
"Linguistique", "COUV", "2002", "1", "Niçard, nissart (dialecte)"
"Linguistique", "COUV", "2002", "1", "Du mésentère à l'effraie. A propos du mode de structuration du lexique"
"Informatique", "COMM", "2013", "1", "A fair and efficient payoff based modeling the coalition formation process for games with valuations"
"Linguistique", "COMM", "2001", "1", "La linguistique occitane moderne. Etat des recherches. Innovations théoriques et méthodologiques"
"Informatique", "COMM", "2015", "2", "Préférences unimodales fondées sur la matrice des préférences nettes : caractérisation et étude expérimentale"
"Linguistique", "COMM", "2000", "1", "De quelques ressorts du changement. En consultant la BDLC"
"Informatique", "COMM", "2015", "4", "Processus décisionnels de Markov avec un tournoi valué sur les politiques"
"Linguistique", "COMM", "2015", "2", "Une méthodologie de sémantique de corpus appliquée à des tâches de fouille d'opinion et d'analyse des sentiments : étude sur l'impact de marqueurs dialogiques et dialectiques dans l'expression de la subjectivité."
"Lettres", "COUV", "2014", "1", "Genre, classe et nation au prisme du mélodrame cinématographique mexicain (1932-1960)"
"Linguistique", "COMM", "2007", "1", "Etymologie : une relance à partir des contributions de la dialectologie et du comparatisme"
"Linguistique", "COMM", "2004", "1", "Les dénominations de la chouette: une archéologie de la parole"
"Lettres", "ART", "2016", "1", "Quand les éléphants avaient des ailes..."
"Linguistique", "COUV", "2005", "1", "Pierre Larousse, genèse et épanouissement d'un lexicographe et éditeur hors du commun"
"Linguistique", "COUV", "2003", "1", "Des dictionnaires de langue française et des nouvelles technologies d'hier à aujourd'hui"
"Lettres", "ART", "2015", "1", "Mallarme politique"
"Linguistique", "COUV", "2009", "1", "Les désignations de l'épouvantail en domaine gallo-roman"
"Linguistique", "COUV", "2003", "1", "La traque des mots 'néologisme' et 'néologie' dans les dictionnaires monolingues monovolumaires français de la fin du XVIIIe s. jusqu'au début du XXIe s."
"Lettres", "COUV", "2016", "1", "Fiction d’auteur et autobiographie fictive : (Ré)inventer un romancier face au chaos politique Waiting for an Angel, Helon Habila et What is the What, Dave Eggers"
"Linguistique", "ART", "2014", "2", "Un dictionnaire allemand-français des „mots du discours“ (O. Ducrot)."
"Lettres", "COUV", "2009", "1", "La sauvagerie domestiquée : l'écriture de la métamorphose animale chez Ovide"
"Linguistique", "COMM", "2008", "2", "Pour une didactique intégrée à l'école primaire en Guyane française."
"Linguistique", "ART", "2000", "1", "Le suffixe -aga, lieu de / The suffix -aga, place of"
"Lettres", "COUV", "2015", "1", "Ecrire jusqu'au fond de l'inconnu (les manuscrits trouvés à Auschwitz)"
"Linguistique", "COMM", "2004", "1", "Les noms de spécialistes en -iste et en -ien ou comment devenir morphologicienne"
"Lettres", "COUV", "2012", "1", "“Suis-je Thomas Mann ou Hemingway ?” L’apprenti écrivain en quête d’une posture auctoriale dans Paris no se acaba nunca d’Enrique Vila-Matas"
"Linguistique", "COMM", "1998", "1", "Topologie discrète des arbres phylogénétique"
"Linguistique", "COMM", "2009", "1", "La didactique du plurilinguisme au service des apprentissages à l'école en Guyane."
"Linguistique", "ART", "2008", "1", "De Saussure à Sieyès, vues analytiques sur l'emprunt"
"Linguistique", "ART", "1995", "1", "Aperçu sur le système verbal du parler de Sainte-Agnès (Alpes-Maritimes)"
"Linguistique", "ART", "1985", "1", "Eléments de la morphologie nominale du parler de Sospel"
"Informatique", "COUV", "2007", "1", "Applications de la géométrie discrète en imagerie médicale"
"Informatique", "COMM", "2016", "1", "Inférence et analyse de propriétés dans les protocoles contrôle-commande"
"Lettres", "COUV", "2016", "1", "Un explorateur qui avance vers le vide” : les récits en suspens de Roberto Bolaño"
"Lettres", "COUV", "2017", "1", "Lumières Révolution Romantisme"
"Linguistique", "ART", "2010", "3", "Apports de la phonétique expérimentale à la didactique de la prononciation du Français Langue Etrangère, Etape 1 : réflexion autour de l'établissement d'un corpus"
"Linguistique", "COMM", "2009", "1", "La construction « Faillir + infinitif »"
"Informatique", "COMM", "2014", "1", "Un titre de transport sur mobile NFC respectueux de la vie privée"
"Linguistique", "COMM", "2013", "2", "Les paradigmes partiels des pronoms sujets dans les dialectes nord occitans"
"Informatique", "ART", "2017", "1", "Robot, as-tu du cœur ?"
"Informatique", "COUV", "2006", "1", "Références"
"Informatique", "ART", "2017", "1", "Le patrimoine numérique, entre enjeux matériels et immatériels"
"Linguistique", "ART", "2010", "1", "Etude des noms romans des grives, merles et autres étourneaux. Essai de reconstruction lexicale"
"Lettres", "COUV", "2016", "1", "Autorité de l'écrivain et discours genré : Marguerite Yourcenar et Virginia Woolf"
"Linguistique", "COMM", "2006", "1", "Quel avenir pour la dialectologie ?"
"Informatique", "COUV", "2005", "4", "Approches intégrées à court terme"
"Linguistique", "COMM", "2005", "1", "Analyse motivationnelle des noms d'animaux. De l'étymologie à la reconstruction lexicale"
"Informatique", "COMM", "2009", "1", "Apport d'un corpus comparable déséquilibré à l'extraction de lexiques bilingues"
"Linguistique", "COMM", "2006", "3", "Distance intertextuelle et classement des textes d'après leur structure : méthodes de découpage et analyses arborées"
"Informatique", "COMM", "2009", "3", "Dimensionnement des messages dans un réseau mobile opportuniste"
"Lettres", "COUV", "2010", "1", "Fictions d’autorité dans la littérature contemporaine : dédoublement, circulation, transfert"
"Informatique", "COMM", "2011", "4", "Analyse et Synthèse de textures couleur dans l'espace L*a*b* par une modélisation déterministe couplée à une modélisation stochastique"
"Linguistique", "COUV", "2010", "8", "Innover à l'école en contexte guyanais. Le projet 'Pluralité des langues à l'école"
"Linguistique", "COMM", "2000", "2", "Les voyelles toniques des paroxytons francoprovençaux"
"Lettres", "ART", "2016", "1", "Éloges de la chère. Aux origines du discours gastronomique français"
"Lettres", "COUV", "2014", "1", "‟ça”, ou la douleur qui vient de l’Est"
"Linguistique", "COMM", "2017", "1", "Le mouvement associé en Gbaya (République centrafricaine)"
"Lettres", "COUV", "2014", "1", "La Fin dans le monde (2009) de Michel Deguy"
"Lettres", "COUV", "2013", "1", "Ecrire de ne pas écrire"
"Linguistique", "COMM", "2017", "1", "Les couleurs forment elles un domaine spécifique ? Une réflexion à partir d'une langue à tradition orale, le gbaya de RCA"
"Linguistique", "COUV", "2008", "1", "Le français et la culture des jeunes : la modernité du français en Afrique"
"Lettres", "COUV", "2012", "1", "Comme si de rien n’était (typologie des nihilismes)"
"Linguistique", "COUV", "1979", "1", "Ce que parler pidgin veut dire : essai de définition linguistique et sociolinguistique du pidgin-english camerounais"
"Linguistique", "ART", "1978", "1", "Le pidgin-english du Cameroun : présentation sociolinguistique"
"Linguistique", "COUV", "2003", "1", "Le traitement de la sémantique dans les grammaires catégorielles contemporaines"
"Linguistique", "COMM", "2015", "1", "La sémantique des verba sonandi russes"
"Lettres", "COUV", "2010", "1", "L’interrogation herméneutique de Claudel devant la Chine, ou l’orientation crucifère"
"Informatique", "COUV", "2012", "4", "Prédiction linéaire dans les expaces séparant l'information achromatique de l'information chromatique"
"Lettres", "COUV", "2007", "2", "La ratita presumida, fable pour adultes ou conte pour enfants ? Présentation d'un projet pédagogique sur l'apprentissage des langues dans le primaire"
"Linguistique", "ART", "2012", "2", "Le système des termes de parenté soso"
"Linguistique", "COMM", "2003", "1", "Un usage particulier des contextes hypotextuels des citations d'Euripide dans la scène des prologues des Grenouilles d'Aristophane"
"Linguistique", "COMM", "2009", "1", "Communication et Persuasion : le discours politique"
"Linguistique", "COMM", "1998", "1", "Les constructions complétives du verbe thaumazô"
"Linguistique", "ART", "2017", "2", "De quoi la négociation graphique est-elle l’exercice ?"
"Linguistique", "COUV", "2008", "1", "Stratégie discursive de concordance discordante dans les ensembles reprises + reformulations (en contexte didactique)"
"Linguistique", "COMM", "2008", "1", "La sémantique interprétative - Présentation théorique et étude de textes"
"Linguistique", "COUV", "2017", "2", "Introduction à l'ouvrage 'Corpus de communication médiée par les réseaux : construction, structuration, analyse."
"Informatique", "COMM", "2006", "4", "Identification automatique des parlers arabes par la prosodie"
"Linguistique", "COUV", "2001", "1", "Sémantaxe et changement linguistique : quelques réflexions sur la pronominalisation en pidgin-english (Cameroun et Nigeria)"
"Lettres", "ART", "2004", "1", "Le Grand Macabre ou le désastre des Pères"
"Linguistique", "COUV", "1991", "1", "Le français au Cameroun : approximation, vernacularisation et camfranglais"
"Linguistique", "ART", "1978", "1", "Le pidgin-english du Cameroun : que décrire?"
"Linguistique", "COUV", "1978", "1", "La dénomination des couleurs chez des sujets bilingues en mina et en français"
"Lettres", "COUV", "2011", "1", "Bouche bée (“Qui, si je criais,…?”)"
"Linguistique", "COMM", "2008", "1", "Les dialogues enfants/enfants, enfants/adultes dans la classe"
"Linguistique", "COMM", "2012", "1", "Projet typologique sur les verba sonandi associés aux animaux (2009-2012)"
"Linguistique", "COMM", "2009", "1", "Saillance verbale et le texte russe"
"Lettres", "ART", "2009", "1", "Un vide dans la voix (Baudelaire, Verlaine, Mallarmé)"
"Lettres", "ART", "1999", "1", "ET IN ARCADIA EGO: H. D. Thoreau, un Transcendantaliste méditerranéen"
"Linguistique", "COMM", "2012", "1", "L’évolution de /f(r)/ en sarde et en gascon"
"Lettres", "COUV", "2008", "1", "Dans l’aporie du comment dire (Jabès)"
"Linguistique", "COMM", "2009", "2", "Impératifs Monosyllabiques et Contraintes de Minimalité"
"Linguistique", "COMM", "2008", "1", "L'évolution de -l- intervocalique en sarde méridional : description et confrontation aux modèles phonologiques actuels"
"Linguistique", "COMM", "2006", "1", "L'allophonie de /s/ et /r/ dans le logoudorien occidental"
"Linguistique", "COMM", "2001", "1", "Métaphonie, nasalisation et réduction vocalique en sarde"
"Linguistique", "COUV", "2007", "1", "Répétitions et reformulations dans L'Exode : coénonciation entre Dieu, ses représentants et le narrateur"
"Linguistique", "COMM", "2001", "1", "Variation diatopique et contraintes phonologiques : étude variationnelle de la structure syllabique en sarde"
"Linguistique", "ART", "2006", "2", "De l'abbé de l'Épée à la langue des signes américaine : les tribulations du signe SEXE"
"Linguistique", "COMM", "1999", "1", "Le statut de la position initiale de mot en sarde : un miroir déformant?"
"Linguistique", "COMM", "2006", "1", "Normes sémantiques et typologie textuelle"
"Lettres", "COUV", "2017", "1", "Un Eden bien jardiné : l’allée des glycines de Desperate Housewives"
"Lettres", "COMM", "2017", "1", "Take good care of the forest, Dewey' : la machine dans le jardin (et vice-versa) dans quelques films de SF américains des années 70."
"Linguistique", "COMM", "2004", "1", "Référence et textualité"
"Linguistique", "COMM", "2009", "1", "La sémantique textuelle - Méthodologie et exemples d'analyse littéraire"
"Linguistique", "COUV", "2013", "1", "La lénition romane et le redoublement syntaxique entre oralité et écriture (IXe-XIIe siècles) : évolution non linéaire du latin classique au latin parlé tardif et médiéval au roman"
"Linguistique", "COUV", "2003", "1", "Robert Galisson : un pionnier explorateur des mots et de contrées lexicologiques et lexiculturelles"
"Lettres", "COUV", "2009", "1", "Pomone et Vertumne (Métamorphoses, XIV, 623-771) ou le désir d’hybridité dans la métamorphose"
"Linguistique", "ART", "2013", "1", "Pour un enseignement / apprentissage [un peu] plus systématique du lexique. Plaidoyer pour un oublié."
"Linguistique", "COMM", "2008", "1", "Constructionnalité des parataxes conditionnelles"
"Lettres", "COUV", "2014", "1", "Les “récits réels” de Javier Cercas. La recherche d’une esthétique documentaire à la frontière des genres"
"Lettres", "COUV", "2013", "1", "Naufrage du droit” et crise de l’interprétation dans Spieltrieb de Juli Zeh"
"Lettres", "ART", "2017", "1", "Reformuler le christianisme : l'expertise lettrée dans les années 1620. Le cas Jean de Silhon."
"Linguistique", "COMM", "2008", "3", "Les motifs : un outil pour la caractérisation topologique des textes"
"Lettres", "COUV", "2009", "1", "La métamorphose ovidienne ou la “grammaire fantasmatique” du mythe"
"Lettres", "COUV", "2012", "1", "“Pataulogie” de la littérature : l’écrivain afro-américain à l’épreuve de la fiction dans Erasure de Percival Everett"
"Linguistique", "COUV", "2009", "2", "Échangisme suffixal et contraintes phonologiques"
"Linguistique", "COUV", "2007", "1", "Les noms de spécialistes en -iste et en -ien : le chimiste perturbé ou comment le physicien se réajuste"
"Linguistique", "COMM", "1999", "1", "Suffixasser ou suffixouiller ?"
"Linguistique", "COMM", "2000", "2", "Problèmes d'attribution: application de quelques tests statistiques à différents historiens latins, analyse arborée"
"Lettres", "COUV", "2014", "1", "Stèles de paroles (littérature et deuils collectifs)"
"Informatique", "COMM", "2014", "4", "Une méthode pour caractériser les communautés des réseaux dynamiques à attributs"
"Lettres", "COUV", "2014", "1", "Les “cœurs pensants de la Baraque” (Sophie Scholl, Hélène Berr, Etty Hillesum, Anne Frank, et bien d’autres encore)"
"Linguistique", "COMM", "2015", "1", "ORTOLANG Un équipement d’excellence pour la mutualisation et la valorisation des ressources sur le français et les langues de France"
"Lettres", "COMM", "2017", "1", "Construction d’une histoire et d’une esthétique lesbienne et féministe à travers la réinterprétation du mythe des Amazones"
"Lettres", "ART", "2014", "1", "Partage du silence"
"Lettres", "COMM", "1999", "1", "Religion et politique dans quatre romans sud-tarnais (1903-1914)"
"Linguistique", "ART", "2011", "1", "Les variétés du français en Afrique. Stigmatisations, dénominations, réification : A qui la faute ?"
"Linguistique", "COUV", "2010", "1", "Pratiques urbaines et catégorisations au Cameroun. Français, francanglais, pidgin, anglais : les frontières en question"
"Linguistique", "COUV", "2009", "1", "Le nom des langues en Afrique sub-saharienne : pratiques, dénominations, catégorisations. Introduction"
"Informatique", "COUV", "1997", "3", "Dynamique des populations et modélisation : application aux systèmes hôtes-macroparasites et à l'épidémiologie en environnement marin."
"Linguistique", "COMM", "2017", "3", "Fréquence intrinsèque vocalique chez les chanteurs et dysphoniques: analyse acoustique, contextes phonétiques et modalités"
"Linguistique", "COUV", "2002", "1", "Lorsque le garde des sceaux est une ministre...Petites réflexions sociolinguistiques à propos d'une pré-enquête sur la féminisation des noms"
"Linguistique", "ART", "2001", "1", "Quand être ne peut plus être : prédication et changement linguistique en pidgin-english camerounais"
"Linguistique", "ART", "1987", "1", "Pidgin et anglais dans les provinces anglophones du Cameroun : expansion et décréolisation"
"Informatique", "COMM", "2016", "4", "Rob-cem I : un démonstrateur des problématiques de Compatibilité Electromagnétique dans les circuits et architectures électroniques embarquées"
"Lettres", "COMM", "2016", "1", "Corps de souffrance et d’extase : le cas de Sainte Lydwine de Schiedam par J-K. Huysmans"
"Linguistique", "COMM", "2017", "1", "Système de numération et expression du repérage temporel en espéranto"
"Lettres", "ART", "2011", "1", "Bugarach (Aude) et la fin du monde en 2012"
"Lettres", "ART", "2001", "1", "Histoire et mémoire dans le roman contemporain : La lluvia amarilla de Julio Llamazares (1988)"
"Linguistique", "COMM", "2014", "1", "Les verbes de bruit associés aux animaux en russe: morphosyntaxe et sémantique"
"Linguistique", "COMM", "2014", "1", "De la perception sonore au mot: lexicalisation des verbes de bruit associés aux animaux"
"Lettres", "COUV", "2004", "1", "Portraits de femmes dans Malena es un nombre de tango (1994) de Almudena Grandes"
"Lettres", "COUV", "2004", "1", "Parcours féminins dans deux récits pour enfants : Carmen Martín Gaite, Caperucita en Manhattan (1990) et Ana María Matute, El verdadero final de la Bella Durmiente (1995)"
"Lettres", "ART", "2009", "1", "19ème siècle et modernité : autovalorisation, dévalorisation, revalorisation"
"Lettres", "ART", "2011", "1", "La beauté monstrueuse dans The Picture of Dorian Gray d'Oscar Wilde et Dorian de Will Self"
"Linguistique", "COMM", "2000", "1", "Eau, langage et société"
"Linguistique", "ART", "1980", "1", "Quelques fonctions et caractéristiques structurelles du pidgin-english camerounais"
"Linguistique", "COUV", "1978", "1", "Le pidgin-english au Cameroun"
"Linguistique", "ART", "1978", "1", "Le cas du pidgin-english camerounais"
"Linguistique", "COMM", "2006", "1", "Les langues basque et gasconne à Bayonne en ce début de XXIe siècle"
"Lettres", "COMM", "1999", "1", "Voyage et quête identitaire dans El Bosque de Diana (1990) et El jinete polaco (1991) d'Antonio Muñoz Molina"
"Informatique", "COMM", "2013", "3", "Rendre compte de l'expérience utilisateur dans un environnement virtuel pour l'apprentissage de gestes de karaté"
"Lettres", "COUV", "1999", "1", "Ordre et désordre dans le roman postmoderne : La ronde de nuit (1969) de Patrick Modiano et El jinete polaco (1991) d'Antonio Muñoz Molina"
"Linguistique", "COMM", "2015", "2", "Les causes vraies et fausses: fr. cause, prétexte // ru. pricina, predlog, povod"
"Linguistique", "COMM", "2004", "1", "Relations quaternaires et représentation arborée"
"Linguistique", "COMM", "2011", "1", "Le comportement de /r/ en sarde entre diachronie et synchronie"
"Lettres", "COMM", "2013", "1", "La Nouvelle Eve, émissaire de paix. Le rôle de Marie dans le De L’Enfantement de la Vierge de Guy Le Fèvre de La Boderie."
"Linguistique", "COUV", "1998", "1", "Histoire de la prise en compte de l’ordre des mots : le cas des premières grammaires catégorielles (1935-1961)"
"Linguistique", "COUV", "2007", "1", "La re-présentation des voix populaires dans le discours auctorial chez A. Ernaux : surénonciation et antihumanisme théorique"
"Linguistique", "COMM", "2002", "1", "Les morphèmes vélaires du subjonctif présent en gascon"
"Linguistique", "COMM", "2006", "2", "Formes sémantiques et traitement automatique"
"Lettres", "COMM", "2017", "1", "L'apocalypse nucléaire pour de faux-vrai : / The War Game / (1965) de Peter Watkins"
"Lettres", "COMM", "2017", "1", "Prendre la parole et la rue : agentivité et subversion spatiale dans Pute de rue de Roxane Nadeau"
"Linguistique", "COUV", "2013", "2", "De l’écrit numérique à l’écrit scolaire : quelle perception de la norme du français par des élèves adolescents en difficulté scolaire ?"
"Lettres", "COUV", "2014", "1", "Poésie pour se dire, poésie pour se taire"
"Linguistique", "ART", "2014", "1", "Préambule"
"Lettres", "COMM", "2017", "1", "Représentations alternatives du genre : l’incorporation d’un ethos combattif dans la pratique du de l’autodéfense féministe et du karaté en non-mixité"
"Linguistique", "COUV", "2010", "1", "Pourquoi on doit seulement speak comme les white ? Appropriation vernaculaire du français chez les jeunes au Cameroun"
"Lettres", "COMM", "2017", "1", "L'écriture féminine du désir : libération/libéralisation"
"Lettres", "COMM", "2016", "1", "Texte et paratexte, esprits et périsprits : Quelles formes narratives pour le spiritisme au XIXe siècle ?"
"Linguistique", "ART", "1991", "1", "Norme endogène et normes pédagogiques au Cameroun : quelques réflexions"
"Linguistique", "ART", "1989", "1", "Le genre en pidgin-english camerounais : un effet de style?"
"Linguistique", "ART", "1979", "1", "Formes du français parlé à Yaoundé"
"Lettres", "COUV", "2011", "1", "Dans le plein de la voix (Hugo, Rimbaud, Claudel)"
"Informatique", "COMM", "2017", "3", "Vers une analyse informatique des textures dans le quatuor classique"
"Linguistique", "COMM", "2012", "1", "Clitiques sujets et verbes météorologiques au nord de l'Occitanie"
"Lettres", "COUV", "2017", "1", "Pulsions et dépenses (futurisme, surréalisme, Bataille)"
"Linguistique", "COMM", "2009", "1", "Le Thesaurus Occitan: une base de données dialectales multimédias"
"Lettres", "ART", "2015", "2", "Terrain vague : poétique des espaces urbains intermédiaires dans la littérature française contemporaine / Wolfram Nitzsch"
"Informatique", "COMM", "2010", "4", "Programmation situationnelle : programmation visuelle de comportements agents pour non informaticiens"
"Lettres", "COUV", "2013", "1", "Territoires de la parole féminine dans le récit de voyage au XIXe siècle. L’exemple de la Grèce dans le 'Journal d’un voyage au Levant' de la comtesse de Gasparin"
"Informatique", "COMM", "2010", "3", "Utilisation de la géométrie de la scène pour l'analyse du trafic routier"
"Linguistique", "COMM", "2002", "1", "Les habitudes rédactionnelles dans l'enseignement en contexte roumain"
"Linguistique", "COMM", "2010", "1", "L’alternance verbale dans la narration russe"
"Linguistique", "ART", "2009", "4", "Représentations du texte pour la classification arborée et l'analyse automatique de corpus. Application à un corpus d'historiens latins"
"Linguistique", "COMM", "2002", "2", "Spécificités stylistiques et distributions temporelles chez les historiens latins : sur les méthodes d'analyse quantitative d'un corpus lemmatisé"
"Linguistique", "COMM", "2006", "1", "Les phénomènes de concurrences suffixale : le cas de la dérivation en -ien"
"Informatique", "COMM", "2009", "4", "DRRLV : un mécanisme d'ordonnancement pour une gestion de ressources efficace des réseaux CPL"
"Lettres", "ART", "2014", "1", "Péguy occupé (1940-1945)"
"Linguistique", "ART", "2007", "1", "L'autorisation prosodique de /s/ et de /r/ dans les parlers du logoudorien occidental"
"Lettres", "COMM", "2017", "1", "Les femmes obèses, éternelles et incroyables discriminées ?"
"Linguistique", "COUV", "2012", "2", "Stratégies prédicatives en contact : langue kali'na et discours bilingues des jeunes kali'na"
"Linguistique", "COMM", "2017", "3", "Les changements vocaux impliqués par la pratique des instruments à vent"
"Linguistique", "COMM", "1999", "2", "La syllabe dans un parler roman de l'Italie du Sud"
"Lettres", "COUV", "2014", "1", "Les espaces clos dans La Vie de Marianne"
"Linguistique", "ART", "1997", "1", "L'alternance /k/ - [?] dans les parlers de la Barbagia d'Ollolai. Une approche géophonologique non-linéaire"
"Informatique", "COUV", "2007", "2", "Parcours et Coupes"
"Lettres", "ART", "2014", "1", "Apories et paradoxes littéraires : diction, contradiction, auto-contradiction"
"Informatique", "COMM", "2011", "2", "Stratégie d'exploration de corpus multi-annotés avec GlozzQL"
"Informatique", "COMM", "2017", "3", "INDICE D’ EVALUATION AVEC REFERENCE DE LA QUALITE DES MAILLAGES 3D BASE SUR LA SAILLANCE VISUELLE"
"Linguistique", "COUV", "2004", "1", "préface"
"Linguistique", "COMM", "2003", "1", "Anglais, français, langues africaines : faits d'appropriation et changement linguistique dans le sud du Cameroun"
"Linguistique", "COUV", "1999", "1", "Histoire de la notion de catégorie dans les premières grammaires catégorielles"
"Lettres", "COUV", "2008", "1", "L'utopie de la création littéraire : enjeux et limites du Texte-acteur (Sangre lunar de José Sanchis Sinisterra et Naturaleza de Felipe Hernández)"
"Lettres", "COUV", "2009", "1", "Au royaume des utopies enfantines : Le pays des trente-six mille volontés (1929) d'André Maurois et El nido de los sueños (1991) de Rosa Montero"
